id,title,content,category,author,date,keywords
1,"Introdução ao Machine Learning","Machine Learning é uma área da inteligência artificial que permite que computadores aprendam e tomem decisões sem serem explicitamente programados para cada tarefa. Utiliza algoritmos que identificam padrões em dados e fazem previsões ou classificações.","Tecnologia","Dr. Ana Silva","2024-01-15","machine learning, inteligência artificial, algoritmos, dados"
2,"Fundamentos de Python","Python é uma linguagem de programação de alto nível, interpretada e de propósito geral. Sua sintaxe clara e legível a torna ideal para iniciantes e profissionais. Oferece bibliotecas poderosas para ciência de dados, web development e automação.","Programação","Prof. Carlos Santos","2024-01-20","python, programação, sintaxe, bibliotecas"
3,"Arquitetura de Microserviços","Microserviços são uma abordagem arquitetural para desenvolver aplicações como um conjunto de serviços independentes e desacoplados. Cada serviço é responsável por uma funcionalidade específica e se comunica via APIs.","Arquitetura","Eng. Maria Oliveira","2024-02-01","microserviços, arquitetura, APIs, serviços independentes"
4,"Segurança Cibernética","A segurança cibernética envolve a proteção de sistemas, redes e dados contra ataques digitais. Inclui práticas como criptografia, autenticação multifator, monitoramento de rede e treinamento de usuários para identificar ameaças.","Segurança","Especialista João Costa","2024-02-10","segurança, criptografia, autenticação, monitoramento"
5,"Desenvolvimento Web Moderno","O desenvolvimento web moderno utiliza tecnologias como React, Node.js, TypeScript e ferramentas de build como Webpack. Foca em performance, responsividade, acessibilidade e experiência do usuário.","Desenvolvimento","Dev. Sofia Lima","2024-02-15","react, node.js, typescript, webpack, responsividade"
6,"Cloud Computing e AWS","Cloud Computing oferece recursos computacionais sob demanda via internet. AWS (Amazon Web Services) é a principal plataforma, oferecendo serviços como EC2, S3, Lambda e RDS para escalabilidade e flexibilidade.","Cloud","Arquiteto Pedro Alves","2024-02-20","cloud computing, AWS, escalabilidade, serviços"
7,"Análise de Dados com Pandas","Pandas é uma biblioteca Python para manipulação e análise de dados. Oferece estruturas de dados como DataFrame e Series, além de funções para limpeza, transformação, agregação e visualização de dados.","Data Science","Analista Laura Ferreira","2024-03-01","pandas, análise de dados, dataframe, visualização"
8,"DevOps e CI/CD","DevOps é uma cultura que combina desenvolvimento e operações para acelerar a entrega de software. CI/CD (Continuous Integration/Continuous Deployment) automatiza testes, builds e deploys para maior eficiência.","DevOps","Eng. Rafael Mendes","2024-03-05","devops, CI/CD, automação, entrega contínua"
9,"Blockchain e Criptomoedas","Blockchain é uma tecnologia de registro distribuído que mantém uma lista crescente de registros (blocos) ligados e protegidos por criptografia. É a base para criptomoedas como Bitcoin e Ethereum.","Blockchain","Especialista Beatriz Rocha","2024-03-10","blockchain, criptomoedas, bitcoin, ethereum, descentralização"
10,"Inteligência Artificial Generativa","IA Generativa cria conteúdo novo como texto, imagens, música e código usando modelos como GPT, DALL-E e Stable Diffusion. Transforma a criatividade e automação em diversas indústrias.","IA","Pesquisador Lucas Pereira","2024-03-15","IA generativa, GPT, DALL-E, criatividade, automação"
